state_ab,prop_boosted,mandate_type,prop_vacc_center
fl,0.477673457973353,ban,0.199303943408444
ga,0.44642188494709,ban,0.163692112527638
ia,0.599536170211244,ban,0.165233582756581
id,0.543404619762141,ban,0.162821940143794
il,0.630780144899083,mandate,0.206820037133554
in,0.50396206323051,ban,0.147835342132887
ks,0.504608322992063,ban,0.174395567078483
ma,0.561896290382108,mandate,0.213966560017628
md,0.561732422845063,mandate,0.20817990468292
mi,0.570166660080571,ban,0.158718729631589
mn,0.664160282137329,mandate,0.192169942415891
mo,0.497202460484945,ban,0.161145213578867
mt,0.549987135832287,ban,0.152385722537806
nc,0.313669048230399,mandate,0.177776225784951
nd,0.525065522533604,ban,0.155848294612771
nh,0.226971230217725,ban,0.195885252474157
nj,0.516638079601472,mandate,0.202484343468948
nm,0.539618971410336,mandate,0.183761528700703
nv,0.453288235843663,mandate,0.174562177443924
ny,0.51903200914345,mandate,0.217792120258355
ok,0.465632310494932,ban,0.164940049867136
or,0.58299253822217,mandate,0.195961047504392
pa,0.488204148977779,mandate,0.190993378526649
sc,0.485599147927013,ban,0.16793319069019
sd,0.477581710869876,ban,0.161053280366233
tn,0.530575299642248,ban,0.160836224232343
tx,0.4448835586327,ban,0.180378930041566
ut,0.497848008392217,ban,0.193151821601754
va,0.546284760369341,mandate,0.211982077047757
vt,0.676376303627079,mandate,0.222323269914993
wa,0.564387175556982,mandate,0.201253774518044
wi,0.636377391693124,mandate,0.176984264446227
wy,0.537338896335692,ban,0.150533768219147
ak,0.517199368071606,ban,0.173999338913514
al,0.451213144022382,ban,0.154068622008258
ar,0.483426552399368,ban,0.167285991200964
az,0.481377346672578,ban,0.182994100704993
ca,0.587449326167193,mandate,0.217226601853172
co,0.593792059778371,mandate,0.204497416637298
ct,0.566494437587709,mandate,0.218157262560139
de,0.521696727937516,mandate,0.196296585147746
fl,0.474312127851891,ban,0.201892409055195
ga,0.444884149554657,ban,0.166225087978884
ia,0.601528772379534,ban,0.16721535083061
id,0.544063224554541,ban,0.165028602355915
il,0.633172516422095,mandate,0.209789144687337
in,0.504241543724647,ban,0.149994706676284
ks,0.504426871364414,ban,0.177372543673851
ma,0.566516096348463,mandate,0.217400455467603
md,0.568462843910523,mandate,0.212251914097782
mi,0.578537772084801,ban,0.161808337385865
mn,0.668832123133799,mandate,0.195407156519181
mo,0.491522899262859,ban,0.163025778630836
mt,0.55242937088621,ban,0.154218763254843
nc,0.315195288999815,mandate,0.180667391435658
nd,0.524139562206564,ban,0.157153473632064
nh,0.233342132916376,ban,0.198968309164797
nj,0.523926666011561,mandate,0.207601751385087
nm,0.541878868991672,mandate,0.187198565010125
nv,0.454168113753768,mandate,0.177999411739167
ny,0.52564148634877,mandate,0.221941573733098
ok,0.460246385399223,ban,0.167085494193159
or,0.590392436660925,mandate,0.198324301998742
pa,0.490089283998217,mandate,0.194625799924842
sc,0.485352307457911,ban,0.170305237336795
sd,0.479857927669249,ban,0.164060529504216
tn,0.529427702025247,ban,0.162790689970227
tx,0.443930717367301,ban,0.183525291228799
ut,0.531108413293792,ban,0.204165644739922
va,0.554633292031743,mandate,0.215975390426358
vt,0.679958501908037,mandate,0.224577387895534
wa,0.573350725311181,mandate,0.204268682642189
wi,0.639610676298128,mandate,0.180102208961774
wy,0.536843508518528,ban,0.152519425817779
ak,0.519258839312371,ban,0.178590731109881
al,0.439223930361965,ban,0.156102773148579
ar,0.473733818019831,ban,0.169623867780586
az,0.481436023707325,ban,0.186300379182278
ca,0.589880381147834,mandate,0.22083252299651
co,0.595726516992424,mandate,0.207221783359604
ct,0.569730819776135,mandate,0.221375242967727
de,0.523108889524653,mandate,0.199634567113898
fl,0.467913273869036,ban,0.204010494216481
ga,0.441234795304267,ban,0.167816614503784
ia,0.600908474534778,ban,0.169160490808371
id,0.543240765382484,ban,0.16734510054269
il,0.634574023163718,mandate,0.213053867387552
in,0.504582127946597,ban,0.152476627443119
ks,0.503044231482775,ban,0.180270940768743
ma,0.57015421971484,mandate,0.221058616926489
md,0.572453158874913,mandate,0.216019695316567
mi,0.58663606665152,ban,0.164624970367072
mn,0.66948941852415,mandate,0.198405019254915
mo,0.489105124521282,ban,0.165137842835248
mt,0.553494591601585,ban,0.155946659744435
nc,0.314826601130456,mandate,0.182921190768942
nd,0.520832249371603,ban,0.158465437088519
nh,0.238350956619027,ban,0.201773228076019
nj,0.527330217306045,mandate,0.211079892136543
nm,0.543265241774751,mandate,0.190974676899399
nv,0.453169538244885,mandate,0.181411476123705
ny,0.530730256801867,mandate,0.225478611043439
ok,0.453933710822439,ban,0.169864303183994
or,0.593903353042268,mandate,0.200554687485413
pa,0.489934085964194,mandate,0.197768048402906
sc,0.481346472313844,ban,0.172355086655678
sd,0.478893842934762,ban,0.166624545726122
tn,0.527401479982718,ban,0.164911271549312
tx,0.441727706109686,ban,0.186662609120038
ut,0.555806648519621,ban,0.213815222895097
va,0.563608390775095,mandate,0.220995172781965
vt,0.682296472135398,mandate,0.226739981621812
wa,0.578098511949832,mandate,0.208574894372633
wi,0.639496334162448,mandate,0.182709488683772
wy,0.534921324528923,ban,0.154968931842732
ak,0.517042262694684,ban,0.183881224175652
al,0.432706078034938,ban,0.157949491567566
ar,0.466486619388673,ban,0.171518494649148
az,0.477499190868823,ban,0.189140501838629
ca,0.591316369098931,mandate,0.224255189282175
co,0.596073235474909,mandate,0.209466983391531
ct,0.572149803936736,mandate,0.223827939325263
