state_ab,flu_vacc_est,mandate_type,cvd_vac_prop_cent
ia,0.554006,ban,-0.00829875485017961
ks,0.512195,ban,-0.0182221368074703
md,0.672032,mandate,0.107951203479463
ma,0.711213,mandate,0.145612659350321
mi,0.538712,ban,-0.0274162819511624
mn,0.593777,mandate,0.0588964646770771
mo,0.547741,ban,-0.0634016466730732
mt,0.472558,ban,-0.0609766248234662
nv,0.338325,mandate,-0.0233777796301885
nh,0.605855,ban,0.0749415739049147
nj,0.634334,mandate,0.0942140902343102
nm,0.531426,mandate,0.0732193960905718
ny,0.572959,mandate,0.111252504194769
nc,0.510178,mandate,-0.0172960286524798
nd,0.523699,ban,-0.0785038542900772
ok,0.42538,ban,-0.0539448160939584
or,0.488635,mandate,0.0704129485100178
pa,0.591535,mandate,0.0442435281094518
sc,0.454428,ban,-0.0524413489196236
sd,0.562739,ban,-0.0165687437555001
tn,0.503483,ban,-0.084288399478613
tx,0.511686,ban,-0.0182095583741233
ut,0.530228,ban,-0.00115257032084826
vt,0.602729,mandate,0.165188785304265
va,0.601108,mandate,0.0948050213309713
wa,0.574107,mandate,0.0875637925462567
wi,0.552579,mandate,0.0241231573525724
wy,0.364779,ban,-0.105439153597861
al,0.453096,ban,-0.120596646777813
ak,0.411634,ban,-0.00630653754189203
az,0.443068,ban,-0.000906871828032285
ar,0.531511,ban,-0.0747994572423334
ca,0.538272,mandate,0.0906893209081694
co,0.611274,mandate,0.0789236644661251
ct,0.709501,mandate,0.157431351919369
de,0.51798,mandate,0.0517809788574568
fl,0.399259,ban,0.0464397964575529
ga,0.455701,ban,-0.0791291907312596
id,0.437852,ban,-0.0954363048222527
il,0.519174,mandate,0.0542780502628943
in,0.485876,ban,-0.0745510170734116
ia,0.554006,ban,-0.00635361487241848
ks,0.516163,ban,-0.0153237397125788
md,0.678163,mandate,0.111718984698248
ma,0.711213,mandate,0.149270820809208
mi,0.538712,ban,-0.0245996489699555
mn,0.593777,mandate,0.0618943274128112
mo,0.553554,ban,-0.0612895824686612
mt,0.472558,ban,-0.0592487283338741
nv,0.354949,mandate,-0.0199657152456499
nh,0.609769,ban,0.077746492816137
nj,0.634334,mandate,0.0976922309857661
nm,0.54732,mandate,0.0769955079798461
ny,0.579863,mandate,0.114789541505111
nc,0.510258,mandate,-0.0150422293191961
nd,0.523699,ban,-0.0771918908336227
ok,0.42538,ban,-0.0511660071031233
or,0.505347,mandate,0.0726433339966889
pa,0.591564,mandate,0.0473857765875149
sc,0.455107,ban,-0.0503914996007413
sd,0.562739,ban,-0.0140047275335937
tn,0.503483,ban,-0.0821678178995285
tx,0.511686,ban,-0.0150722404828841
ut,0.535731,ban,0.0084970078343265
vt,0.608233,mandate,0.167351379030544
va,0.601108,mandate,0.0998248036865783
wa,0.574107,mandate,0.091870004276701
wi,0.552579,mandate,0.0267304370745696
wy,0.364779,ban,-0.102989647572908
al,0.453096,ban,-0.118749928358826
ak,0.411634,ban,-0.0010160444761208
az,0.450639,ban,0.00193325082831874
ar,0.531511,ban,-0.0729048303737712
ca,0.538272,mandate,0.0941119871938342
co,0.611274,mandate,0.0811688644980525
ct,0.713184,mandate,0.159884048276905
de,0.51798,mandate,0.0550156364931538
fl,0.399259,ban,0.0483108187757964
ga,0.455701,ban,-0.0776873774307187
id,0.437852,ban,-0.0932386531992827
il,0.519174,mandate,0.057296428866053
in,0.485876,ban,-0.0729135194882156
ia,0.554006,ban,-0.00472500791727937
ks,0.518116,ban,-0.0131980572476721
md,0.678163,mandate,0.114881362213734
ma,0.711213,mandate,0.151905438381099
mi,0.538712,ban,-0.0224109316824683
mn,0.593777,mandate,0.0641871537962263
mo,0.553554,ban,-0.0595514355838637
mt,0.472558,ban,-0.0575730086789529
nv,0.354949,mandate,-0.0170766972504047
nh,0.609769,ban,0.0749657372541328
nj,0.634334,mandate,0.100350845809165
